country,continent,year,life_expectancy,population,gdp_per_capita,iso_alpha
AFGHANISTAN,asia,1992,41.674,"16,317,921",$649.34,AFG
Afghanistan,Asia,1997,41.76300000000001,"22,227,415",$635.34,AFG
Afghanistan,Asia,2002,42.129,"25,268,405",$726.73,AFG
Afghanistan,Asia,2007,43.828,"31,889,923",$974.58,AFG
Albania,Europe,1992,71.581,"3,326,498","$2,497.44",ALB
Albania,Europe,1997,72.95,"3,428,038","$3,193.05",ALB
Albania,Europe,2002,75.65100000000002,"3,508,512","$4,604.21",ALB
Albania,Europe,2007,76.423,"3,600,523","$5,937.03",ALB
Algeria,Africa,1992,67.744,"26,298,373","$5,023.22",DZA
Algeria,Africa,1997,69.152,"29,072,015","$4,797.30",DZA
Algeria,Africa,2002,70.994,"31,287,142","$5,288.04",DZA
Algeria,Africa,2007,72.301,"33,333,216","$6,223.37",DZA
Angola,Africa,1992,40.647,"8,735,988","$2,627.85",AGO
Angola,Africa,1997,40.963,"9,875,024","$2,277.14",AGO
Angola,Africa,2002,41.003,"10,866,106","$2,773.29",AGO
Angola,Africa,2007,42.731,"12,420,476","$4,797.23",AGO
Argentina,Americas,1992,71.868,"33,958,947","$9,308.42",ARG
Argentina,Americas,1997,73.275,"36,203,463","$10,967.28",ARG
Argentina,Americas,2002,74.34,"38,331,121","$8,797.64",ARG
Argentina,Americas,2007,75.32,"40,301,927","$12,779.38",ARG
Australia,Oceania,1992,77.56,"17,481,977","$23,424.77",AUS
Australia,Oceania,1997,78.83,"18,565,243","$26,997.94",AUS
Australia,Oceania,2002,80.37,"19,546,792","$30,687.75",AUS
Australia,Oceania,2007,81.235,"20,434,176","$34,435.37",AUS
Austria,Europe,1992,76.04,"7,914,969","$27,042.02",AUT
Austria,Europe,1997,77.51,"8,069,876","$29,095.92",AUT
Austria,Europe,2002,78.98,"8,148,312","$32,417.61",AUT
Austria,Europe,2007,79.829,"8,199,783","$36,126.49",AUT
Bahrain,Asia,1992,72.601,"529,491","$19,035.58",BHR
Bahrain,Asia,1997,73.925,"598,561","$20,292.02",BHR
Bahrain,Asia,2002,74.795,"656,397","$23,403.56",BHR
Bahrain,Asia,2007,75.635,"708,573","$29,796.05",BHR
Bangladesh,Asia,1992,56.018,"113,704,579",$837.81,BGD
Bangladesh,Asia,1997,59.412,"123,315,288",$972.77,BGD
Bangladesh,Asia,2002,62.01300000000001,"135,656,790","$1,136.39",BGD
Bangladesh,Asia,2007,64.062,"150,448,339","$1,391.25",BGD
Belgium,Europe,1992,76.46,"10,045,622","$25,575.57",BEL
Belgium,Europe,1997,77.53,"10,199,787","$27,561.20",BEL
Belgium,Europe,2002,78.32,"10,311,970","$30,485.88",BEL
Belgium,Europe,2007,79.441,"10,392,226","$33,692.61",BEL
Benin,Africa,1992,53.919,"4,981,671","$1,191.21",BEN
Benin,africa,1997,54.777,"6,066,080","$1,232.98",BEN
Benin,Africa,2002,54.40600000000001,"7,026,113","$1,372.88",BEN
Benin,Africa ,2007,56.728,"8,078,314","$1,441.28",BEN
Bolivia,Americas,1992,59.957,"6,893,451","$2,961.70",BOL
Bolivia,Americas,1997,62.05,"7,693,188","$3,326.14",BOL
Bolivia,Americas,2002,63.883,"8,445,134","$3,413.26",BOL
BOLIVIA,Americas,2007,65.554,"9,119,152","$3,822.14",BOL
Bosnia and Herzegovina,Europe,1992,,"4,256,013","$2,546.78",BIH
Bosnia and Herzegovina,Europe,1997,73.244,"3,607,000","$4,766.36",BIH
Bosnia and Herzegovina,Europe,2002,74.09,"4,165,416","$6,018.98",BIH
Bosnia and Herzegovina,Europe,2007,74.852,"4,552,198","$7,446.30",BIH
Botswana,Africa,1992,62.745,"1,342,614","$7,954.11",BWA
 Botswana,Africa,1997,52.556,"1,536,536","$8,647.14",BWA
Botswana,Africa,2002,46.63399999999999,"1,630,347","$11,003.61",BWA
Botswana,Africa,2007,50.728,"1,639,131","$12,569.85",BWA
Brazil,Americas,1992,67.057,"155,975,974","$6,950.28",BRA
Brazil,Americas,1997,69.388,"168,546,719","$7,957.98",BRA
Brazil,Americas,2002,71.006,"179,914,212","$8,131.21",BRA
Brazil ,Americas,2007,72.39,"190,010,647","$9,065.80",BRA
Bulgaria,Europe,1992,71.19,"8,658,506","$6,302.62",BGR
Bulgaria,Europe,1997,70.32,"8,066,057","$5,970.39",BGR
Bulgaria,Europe,2002,72.14,"7,661,799","$7,696.78",BGR
Bulgaria,Europe,2007,73.005,"7,322,858","$10,680.79",BGR
Burkina Faso,Africa,1992,50.26,"8,878,303",$931.75,BFA
Burkina Faso,Africa,1997,50.324,"10,352,843",$946.29,BFA
Burkina Faso,Africa,2002,50.65,"12,251,209","$1,037.65",BFA
Burkina Faso,Africa,2007,52.295,"14,326,203","$1,217.03",BFA
Burundi,Africa,1992,44.736,"5,809,236",$631.70,BDI
Burundi,Africa,1997,45.326,"6,121,610",$463.12,BDI
Burundi,Africa,2002,47.36,"7,021,078",$446.40,BDI
Burundi,Africa,2007,49.58,"8,390,505",$430.07,BDI
Cambodia,Asia,1992,55.803,"10,150,094",$682.30,KHM
Cambodia,Asia,1997,56.534,"11,782,962",$734.29,KHM
Cambodia,Asia,2002,56.752,"12,926,707",$896.23,KHM
Cambodia,Asia,2007,59.723,"14,131,858","$1,713.78",KHM
